density,avg_speed
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
0.0026,1.0
